mode: atomic
github.com/higebu/matchers/cmp.go:14.51,16.2 1 5
github.com/higebu/matchers/cmp.go:18.39,20.2 1 0
github.com/higebu/matchers/cmp.go:22.42,22.69 1 1
github.com/higebu/matchers/proto_msg.go:15.57,17.9 2 5
github.com/higebu/matchers/proto_msg.go:20.2,20.30 1 2
github.com/higebu/matchers/proto_msg.go:17.9,19.3 1 3
github.com/higebu/matchers/proto_msg.go:23.43,25.2 1 0
github.com/higebu/matchers/proto_msg.go:27.49,27.79 1 1
github.com/higebu/matchers/timestamp.go:15.56,16.72 1 6
github.com/higebu/matchers/timestamp.go:19.2,20.30 2 3
github.com/higebu/matchers/timestamp.go:23.2,23.29 1 1
github.com/higebu/matchers/timestamp.go:16.72,18.3 1 3
github.com/higebu/matchers/timestamp.go:20.30,22.3 1 2
github.com/higebu/matchers/timestamp.go:26.44,28.2 1 0
github.com/higebu/matchers/timestamp.go:30.59,30.90 1 1
